Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_monomer_1	Full_CD8_monomer_2	Full_CD8_monomer_3	Full_CD8_monomer_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	2.63218669486816	35.7783545628997	323.551735486062	770.931258626919	4.91253519050269	149.681482485565	29.3799052844838	862.174210184147	52.6925475726027	150.970564498871	231.12290268929	313.567325114108
KLHL17	0	6.42175594718713	6.70573545048834	30.420060937928	0.982507038100538	2.55138890600395	0	8.11458080173315	0.940938349510763	2.14142644679249	5.31317017676529	0
PLEKHN1	0	0	0	0	0	0.850462968667984	0	11.1575486023831	0	0	0	0
PERM1	0	0	0	2.60743379467954	0	0.850462968667984	0	8.11458080173315	0	0	0	0
HES4	0	0	0	0	0	0	0	0	0	1.07071322339625	0	0
ISG15	6.58046673717039	8.25654336066917	297.56701061542	3615.6415286223	7.8600563048043	262.793057318407	43.5257856066427	4756.15867241584	30.1100271843444	65.313506627171	604.815871788449	485.49486416815
AGRN	0	0	0	2.60743379467954	0	0	1.08814464016607	0	0	3.21213967018874	0	0.890816264528716
RNF223	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1.31609334743408	0.917393706741019	0.838216931311042	133.848268126883	0	0.850462968667984	0	38.5442588082324	0.940938349510763	4.28285289358498	0	0.890816264528716
TTLL10	0	0	0	0	0.982507038100538	0	1.08814464016607	0	0	0	3.54211345117686	6.23571385170101
TNFRSF18	0	0.917393706741019	2.51465079393313	27.8126271432485	1.96501407620108	6.80370374934387	1.08814464016607	6.08593560129986	2.82281504853229	4.28285289358498	2.65658508838265	2.67244879358615
TNFRSF4	1.31609334743408	1.83478741348204	1.67643386262208	136.455701921563	0.982507038100538	1.70092593733597	1.08814464016607	6.08593560129986	0.940938349510763	4.28285289358498	0.885528362794216	0
SDF4	18.4253068640771	12.8435118943743	47.7783650847294	80.8304476350659	9.82507038100538	39.1212965587272	33.7324838451481	77.0885176164649	27.2872121358121	28.9092570316986	23.9092657954438	59.684689723424
B3GALT6	50.011547202495	78.8958587797276	56.1605343978398	93.8676166084636	57.9679152479317	113.96203780151	68.5531123304622	65.9309690140818	38.5784723299413	190.586953764532	38.9632479629455	28.5061204649189
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	22.3735869063793	15.5956930145973	68.7337883675055	154.70773848432	11.7900844572065	24.6634260913715	19.5866035229892	123.74735722643	24.4643970872798	25.6971173615099	78.8120242886852	29.3969367294476
SCNN1D	0	0	0	0	0	0	0	5.07161300108322	0	0	0	0.890816264528716
ACAP3	0	3.66957482696408	17.6025555575319	19.1211811609833	1.96501407620108	2.55138890600395	0	7.1002582015165	3.76375339804305	4.28285289358498	0	2.67244879358615
PUSL1	0	0	18.4407724888429	50.4103866971379	0	6.80370374934387	5.44072320083033	12.1718712025997	0.940938349510763	5.35356611698123	24.794794158238	17.8163252905743
INTS11	22.3735869063793	5.50436224044611	312.654915379019	1275.0351255983	12.772591495307	217.718519979004	112.078897937105	1182.70015185261	47.9878558250489	97.4349033290584	784.578129435675	487.276496697208
CPTP	2.63218669486816	0.917393706741019	0.838216931311042	1.73828919645303	0.982507038100538	0.850462968667984	3.2644339204982	28.401032806066	1.88187669902153	2.14142644679249	3.54211345117686	3.56326505811486
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	3.66957482696408	3.35286772524417	17.3828919645303	0	7.65416671801185	8.70515712132853	30.4296780064993	6.58656844657534	7.49499256377372	13.2829254419132	7.12653011622973
MXRA8	0	0	0	0	0	0	0	0	0	0	0.885528362794216	0
AURKAIP1	5.26437338973631	9.17393706741019	95.5567301694588	1122.06567631043	0	95.2518524908142	119.695910418267	252.566327453944	70.5703762133073	150.970564498871	108.034460260894	136.294888472894
CCNL2	84.229974235781	160.543898679678	769.483142943537	714.436859742195	112.005802343461	694.828245401743	258.978424359524	949.405953802778	136.436060679061	395.093179433215	756.24122182626	629.807099021802
MRPL20	406.67284435713	382.553175711005	2139.96782563709	2125.92768726206	227.941632839325	1792.77593795211	1305.77356819928	2120.948557053	1443.39942814951	1371.58363917059	1779.02648085358	1657.80906828794
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1.31609334743408	0	1.67643386262208	3.47657839290606	0	0.850462968667984	0	18.2578068038996	0	6.42427934037747	0	0
ATAD3B	1.31609334743408	1.83478741348204	13.4114709009767	152.969449287867	2.94752111430161	6.80370374934387	3.2644339204982	239.380133651128	1.88187669902153	3.21213967018874	21.2526807070612	24.0520391422753
ATAD3A	1.31609334743408	5.50436224044611	31.8522433898196	83.4378814297454	1.96501407620108	4.25231484333992	4.35257856066427	126.79032502708	4.70469174755382	4.28285289358498	41.6198330513281	24.9428554068041
TMEM240	0	0	0	2.60743379467954	0	0	0	0	0	0	0	0
SSU72	315.862403384179	491.723026813186	787.085698501069	1207.24184693663	287.874562163458	719.491671493114	527.750150480542	1325.71963848315	413.071935435225	824.449182015109	727.904314216845	597.737713498769
FNDC10	0	0	1.67643386262208	0	0	2.55138890600395	0	3.04296780064993	0	0	0	0
MIB2	2.63218669486816	0	0	11.2988797769447	0	2.55138890600395	1.08814464016607	37.5299362080158	0	4.28285289358498	14.1684538047075	3.56326505811486
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	111.867934531897	53.2088349909791	92.2038624442146	591.01832679403	67.7929856289371	75.6912042114505	75.0819801714586	336.755103271926	28.2281504853229	42.8285289358498	139.027952958692	88.1908101883429
SLC35E2B	109.235747837028	28.4392049089716	92.2038624442146	157.315172278999	71.7230137813392	164.989815921589	241.568110116867	102.446582621881	220.179573785519	129.556300030946	204.557051805464	287.733653442775
