Full_CD4_V7_1	Full_CD4_V7_2	Full_CD4_V7_3	Full_CD4_V7_4	Full_CD4_monomer_1	Full_CD4_monomer_2	Full_CD4_monomer_3	Full_CD4_monomer_4	Full_CD4_control_1	Full_CD4_control_2	Full_CD4_control_3	Full_CD4_control_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	9.15753622064972	9.45238264499937	9.36466152237935	9.33375832374894	9.290370843685	9.44491792654712	8.98384495339952	7.90765317363789	6.22954447104433	9.20090197867597	5.97748584423375	5.9069005017153
KLHL17	3.31740069868268	2.99145694168056	3.0507794843739	2.95721800626144	3.17691448754973	2.92651476435356	3.38057083088047	3.00480204675884	2.86685781088412	3.17275575156483	2.86889636516668	2.93020637478821
PLEKHN1	1.25408367615337	1.25417721805838	1.41448574871392	1.29408953490096	1.25388974474527	1.28881667848416	1.45137549722628	1.2540620241126	1.25381462115017	1.354886753851	1.34800008144404	1.25449945843257
PERM1	1.16579775260767	1.19277287145443	1.2951730060014	1.25725653791492	1.59546624288302	1.1863147811816	1.16535158587725	1.16576927001537	1.16544348841152	1.16576150075403	1.16609772585267	1.16634380195973
HES4	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	12.0452788644989	12.0972958895478	11.9801995675474	11.6583694211178	11.5499547589612	11.8771018667339	11.7301865068742	9.24511946353057	7.34833291873683	12.0708947161337	7.5310943386148	7.09096965848129
AGRN	1.50581103832835	1.53169777273758	1.36561549207256	1.42524161702327	1.36557080442695	1.48191234114385	1.38272439996511	1.4672054952001	1.41890674033356	1.36575155187683	1.36602945218014	1.39317713986558
RNF223	-2.02475451141823	-2.02456187758011	-2.02509282515315	-2.0112918405756	-2.02518954603346	-2.02546236923632	-2.0255522720195	-2.02480058427579	-2.02537314248614	-2.02481325192903	-2.02430111274665	-2.02396627996721
C1orf159	5.42337487136288	4.15937196544537	5.58533698316412	4.65337661612841	4.8570770809784	4.93452608640643	4.67831863877899	4.01542177455488	4.0411799647259	4.91722332117259	4.06082376369016	4.18737521498564
TTLL10	0.902941497197308	0.852517304773219	0.852251977708471	0.899881268035967	0.852207625032029	0.852088647456257	1.26401760991871	0.852393293827334	0.852126586521152	0.85238693342779	0.909789486518476	0.852863633504265
TNFRSF18	5.06162517189134	4.29509660475453	4.91477389574886	4.51456554309324	4.95872414871861	4.24471255790333	4.40806831187918	4.2554177757194	4.13696208889262	4.35219489748688	4.11640492501313	4.03453632985417
TNFRSF4	7.73728706926929	5.44453827366041	7.09774764218147	6.02293758048401	8.54446259376353	5.15909362955604	5.56019907227637	4.86253785771448	4.97019859692478	5.39383966686142	5.01492759458897	4.70331267256759
SDF4	7.32075652407671	5.90546435573559	6.5668274376084	6.61727106603965	6.44314730494495	6.43720087167933	6.17107651552495	6.05425769491819	5.76427203855146	6.55147850912219	6.19250392192313	5.78523565950187
B3GALT6	6.71452325016942	6.49941612415146	6.95604877695798	6.91331022726777	6.50276994201788	6.36491878867912	6.44479753078196	6.91629278061771	7.02399931842248	6.67443167669342	6.64780909485972	6.07077105373966
C1QTNF12	-0.57465961141728	-0.574633970265642	-0.574701489104821	-0.554630609234977	-0.555826023776892	-0.574742979326717	-0.574752446585426	-0.574665546127425	-0.574733346759572	-0.439502686035612	-0.574597039770956	-0.574545617251607
UBE2J2	6.70223222222849	6.81297197546092	6.67568243416629	6.87046092147566	6.68084165573646	6.88497405777629	6.76388276303637	5.75311428113208	5.17822404931648	6.61322400979808	5.38429335268323	5.36073072470158
SCNN1D	-0.450038091393739	-0.471304109513756	-0.4713764856473	-0.471361354187599	-0.471388568687825	-0.436906540664315	-0.437770445222207	-0.450316833142486	-0.418964447473104	-0.471339692200399	-0.447105032860198	-0.471209398102974
ACAP3	2.8649695727816	2.78742984646531	2.68914942438926	3.03741710904302	2.86354979522823	2.92904665473426	2.86348000016139	2.75921483784303	2.70915485306876	3.1640263435274	2.74437976064694	2.77798308580132
PUSL1	3.87856231001788	3.52989813248865	4.08107666067554	4.06067414803863	3.97510244675423	3.83103471812821	3.73815504732197	3.75596778943512	3.55758620692601	3.85731606214794	3.50656428321154	3.47870943937213
INTS11	9.57661045501194	9.70010710175708	9.39912245161367	9.42701306658447	9.81712135227075	9.84901036784049	9.97756495059547	8.87444203453226	6.05995371713944	9.90026652773741	6.40260737086061	6.5359149853903
CPTP	4.22422419470632	3.75337949302023	3.96161271940763	4.05399369254085	3.86604875307822	3.51073120674335	3.90436536124705	3.61107778691241	3.55437823508669	4.05957614190265	3.70128667167553	3.63783094687922
TAS1R3	0.0451954166044947	0.0452537957771183	0.371393398192701	0.0451321564698208	0.0450742558269046	0.045005280310764	0.0449836568100407	0.0451818978804895	0.0450272747502681	0.0451782103544132	0.0453377955746661	0.0454545958450026
DVL1	4.00841723180541	3.6519204177761	3.85793415108462	4.03200331939912	3.59384817349377	3.89164921420971	3.78213315427106	3.7364404308226	3.58972660650789	3.99002851872541	3.59331038490651	3.72276817446069
MXRA8	1.10381439397196	1.10392593289456	1.10363205929953	1.42719935775267	1.10358294463754	1.10345120688643	1.17982251043124	1.10378856695453	1.10349321264547	1.3549179515316	1.10408644443884	1.10430967636564
AURKAIP1	9.06715401357808	6.92151293475303	8.48906392544538	8.05511568178487	9.09954519077399	7.22080916247165	7.59347220791358	6.6466197567859	6.60919742261143	8.12998349644589	6.8161812033387	6.31476909462049
CCNL2	9.15212859867221	9.94732785929188	9.43069187054022	9.54601894074854	9.67203417008175	9.65994834213032	9.43150270608399	9.19987590605859	8.04215178202718	9.49082431247905	8.04982453342453	8.04003172117888
MRPL20	11.2471507897697	11.3358642714962	11.2120620532108	11.1919926265307	10.7841116432721	11.0853344448606	11.2145834947857	11.0945863061773	10.7090717673145	11.2148328066259	10.7026161637915	9.53580708546201
ANKRD65	-2.26427339792531	-2.26419142296043	-2.2644173666943	-2.26436732559146	-2.26445852608168	-2.26457462547881	-2.26170141256831	-2.26429300414257	-2.26453665520431	-2.26429839483841	-2.26408045497956	-2.26393796752458
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
