Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_wtIL2_1	Full_CD8_wtIL2_2	Full_CD8_wtIL2_3	Full_CD8_wtIL2_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4	Full_CD8_Mb_wtIL2_1	Full_CD8_Mb_wtIL2_2	Full_CD8_Mb_wtIL2_3	Full_CD8_Mb_wtIL2_4
RNF207	140.58567432812	31.3054731330266	109.905358817759	30.0840903122971	61.5557490119204	76.2949806315083	52.5316151445418	12.4318866333216	52.7818544566285	94.6239522756891	1.75113053134931	143.029920130586	79.8055194740252	50.5286805231586	44.182575586539	85.0722382178042
ICMT	86.4150475227896	153.765118035748	329.716076453276	248.193745076451	61.5557490119204	478.66017610482	527.127586450403	484.843578699542	331.771656584522	512.457808953732	541.099334186936	491.391136644959	73.5462630446899	281.516934343312	316.017744025753	321.384011045038
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	5.15910731479341	3.6829968391796	4.95813648801919	0	1.39899429572546	9.08273578946527	30.7943950847314	3.1079716583304	1.88506623059387	10.6319047500774	14.8846095164691	0	0	23.2592338916127	10.4840009866364	1.71863107510715
ACOT7	168.960764559484	65.373193895438	330.542432534613	1876.9129678172	193.061212810114	394.190733262793	268.092380737662	868.160083226958	232.805679478344	357.231999602601	456.169503416494	601.954142390075	93.8888464400296	413.853954761108	1988.96475860758	1007.97712555035
HES2	0	0	0	0	0	0	1.8114350049842	0	0	0	0	0	0	0	0	0
ESPN	0	0.920749209794901	0	0	0	0	0	0	0.942533115296937	0	0	0	0	0	0	0
TNFRSF25	0	1.8414984195898	14.8744094640576	14.206375980807	0	10.8992829473583	2.7171525074763	1.0359905527768	13.1954636141571	0	4.37782632837327	7.89735755322255	4.69444232200148	0.802042547986644	44.182575586539	11.1711019881965
PLEKHG5	0	0.920749209794901	11.5689851387115	0	0	2.72482073683958	3.6228700099684	0	0	5.31595237503871	0.875565265674653	0	0	2.40612764395993	8.23742934664286	0
NOL9	719.695470413681	1416.11228466456	852.799475939301	771.322648840285	590.375592796146	652.140429683606	956.437682631658	271.429524827522	746.486227315174	553.922237479034	711.834560993493	592.301816491692	701.036720085555	786.803739574898	636.528631331493	666.828857141576
TAS1R1	0	0	0	0	1.39899429572546	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	2.57955365739671	4.60374604897451	37.1860236601439	174.654857646392	0	8.17446221051874	24.4543725672867	35.2236787944112	23.5633278824234	4.25276190003097	140.090442507945	100.033195674152	3.12962821466765	19.2490211516795	335.488031572364	199.36120471243
KLHL21	153.483442615104	189.67433721775	449.537708247074	334.267670136635	309.177739355328	303.36337536814	357.75841348438	227.917921610896	244.116076861907	329.5890472524	484.187591918083	419.437434493376	311.398007359432	306.380253330898	273.332882865877	297.323175993538
PHF13	54.1706268053308	201.644076945083	45.4495844735093	203.067609608006	158.086355416977	153.498234841963	123.177580338926	78.7352820110368	43.3565233036591	13.8214761751007	141.841573039294	133.377594232203	214.379532704734	133.139062965783	208.182305306065	74.7604517671612
THAP3	1.28977682869835	9.20749209794901	136.348753420528	371.872783027006	0	59.9460562104708	13.5857625373815	393.676410055184	28.2759934589081	46.7803809003407	256.540622842673	193.924002140243	0	170.033020173169	319.762030092409	270.684394329377
DNAJC11	153.483442615104	232.028800868315	371.860236601439	577.447400161037	41.9698288717639	226.160121157685	276.243838260091	174.046412866502	155.517964023995	215.827666426572	290.687668203985	298.344618677296	129.879570908708	244.622977135927	486.008331451929	504.41822054395
CAMTA1	846.093599626119	916.145463745927	723.061571169466	745.416904404695	994.684944260805	677.572089894109	508.107518898069	1539.48196142632	745.543694199877	805.898380055869	597.135511190114	606.341563252976	1350.43457462909	539.774634795012	699.432637251312	634.17486671454
VAMP3	809.979848422565	669.384675520893	880.069226623407	1139.01708599058	85.3386520392533	1089.92829473583	895.754609964688	879.555979307503	873.728197880261	654.925332604769	1072.56745045145	784.470850286774	103.277731084033	942.399993884307	835.724650077584	665.969541604022
PER3	248.926927938782	131.667137000671	383.429221740151	452.93269303514	62.9547433076459	445.962327262745	658.456624311757	479.663625935658	485.404554377923	408.265142402973	510.454549888323	501.920946715922	26.6018398246751	465.98672038024	420.108896678786	467.467652429146
UTS2	0	65.373193895438	39.6650919041535	7.52102257807428	121.712503728115	0.908273578946527	33.5115475922077	82.879244222144	15.080529844751	59.5386666004336	77.0497433793695	0	0	29.6755742755058	8.98628655997403	13.7490486008572
TNFRSF9	6285.08248624707	17349.6773601653	12990.3175986103	8639.14793468132	2308.34058794702	4130.8282370488	5466.00512753983	2278.14322555618	2506.19555357456	2078.53737864014	2117.11681240131	2274.4389753281	3548.99839543312	6012.91298225587	3526.36861757647	3714.82106884411
PARK7	11810.4864203908	9800.45458905693	13067.9950702559	11572.3467401303	8494.69336364502	12159.0584013572	12865.7171229003	16463.9618647289	14498.0443794975	13384.5048898725	11404.2375854124	11304.6285953518	16322.5759535992	11019.2625667885	9501.50032274587	10598.7978401858
ERRFI1	144.455004814215	59.8486986366686	7.43720473202879	32.5910978383219	39.171840280313	21.7985658947166	91.4774677517022	1.0359905527768	7.5402649223755	41.464428525302	7.00452212539723	0	0	28.0714891795326	3.74428606665584	0
SLC45A1	0	0	0	7.52102257807428	0	0.908273578946527	0	0	0	0	0	0	0	3.20817019194658	0	0
RERE	127.687906041137	90.2334225599003	134.696041257855	160.448481665585	113.318537953763	156.223055578803	90.5717502492101	140.894715177645	107.448775143851	86.1184284756272	196.126619511122	32.4669143854705	244.111000744077	160.408509597329	119.817154132987	238.889719439895
ENO1	926.059763005417	1975.92780421986	51925.7370829437	44594.6498729284	865.977469054062	57625.4172162624	64946.2849512011	21225.3744452911	59263.6546905255	55339.064224153	51127.7581238057	47337.6386581886	630.620085255532	43368.0446547338	41464.9727593601	36922.2107020646
CA6	61.9092877775209	36.829968391796	35.5333114974709	26.7414136109308	64.3537376033714	49.955046842059	117.743275323973	0	11.3103973835632	21.2638095001549	109.445658209332	113.195458262857	54.768493756684	151.586041569476	23.9634308265974	64.4486653165183
SLC2A7	0	20.2564826154878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0	4.5285875124605	0	0	0	0	0	0	8.02042547986644	0	0
GPR157	7.73866097219012	0	4.13178040668266	0	5.59597718290186	83.5611692630805	41.6630051146366	2.0719811055536	0	30.8325237752245	0	0	14.0833269660044	15.2388084117462	9.73514377330519	10.3117864506429
H6PD	123.818575555042	59.8486986366686	158.660367616614	138.721083106703	62.9547433076459	138.965857578819	172.086325473499	81.8432536693672	200.759553558248	214.764475951564	168.108531009533	182.516707896699	114.231429835369	164.418722337262	119.817154132987	143.505694771447
SPSB1	32.2444207174588	12.8904889371286	99.9890858417204	45.9618046437873	2.79798859145093	93.5521786314923	67.9288126869075	95.3111308554656	102.736109567366	133.961999850976	97.1877444898865	35.0993669032113	6.25925642933531	58.549106003025	17.9725731199481	58.4334565536433
SLC25A33	299.228224258018	130.746387790876	104.120866248403	82.7312483588171	292.389807806622	84.469442842027	86.0431627367496	170.938441208172	105.563708913257	87.1816189506349	27.1425232359143	53.5265345273973	215.944346812068	103.463488690277	69.6437208397987	52.4182477907682
TMEM201	20.6364292591736	23.0187302448725	85.1146763776628	133.707068054654	16.7879315487056	29.0647545262889	37.1344176021761	51.79952763884	9.42533115296937	96.7503332257046	44.6538285494073	88.6259014306086	20.3425833953398	37.6959997553723	107.086581506357	33.5133059645895
PIK3CD	161.222103587294	204.406324574468	1237.88140984213	1536.79561345318	267.207910483564	1263.40854831462	1176.52703573724	1039.09852443513	1068.83255274673	1241.80647480904	1203.02667503697	1045.08364954312	186.212878772725	1682.68526567598	1520.9290002756	1619.80978828849
CLSTN1	61.9092877775209	66.2939431052329	171.882064917999	213.095639712105	58.7577604204695	87.1942635788666	91.4774677517022	224.809949952566	122.529304988602	150.973047451099	306.447842986129	133.377594232203	4.69444232200148	143.565616089609	217.168591866039	249.201505890537
CTNNBIP1	32.2444207174588	17.4942349861031	12.395341220048	5.01401505204952	50.3637946461167	46.3219525262729	4.5285875124605	10.359905527768	16.0230629600479	15.9478571251161	42.902698018058	50.0165978370762	12.5185128586706	8.82246802785309	20.2191447599416	24.0608350515002
LZIC	1542.57308712323	1824.92493381349	1340.34956392786	1224.25534187542	2382.48728562047	1447.78808484076	1487.18813909203	1656.5488938901	1391.17887817828	1128.04509398321	1291.45876687011	992.434599188301	2275.23971206339	1152.53514145681	807.268075971	1178.12160198595
NMNAT1	256.665588910972	309.371734491087	157.007655453941	167.133835068317	64.3537376033714	124.433480315674	288.018165792488	243.457779902548	473.151623879063	105.255857025767	226.771403809735	242.185631632158	37.5555385760119	121.108424745983	124.310297412974	134.053223858358
RBP7	0	0	0	0	0	6.35791505262569	0	0	0	0	14.8846095164691	0	0	0	0	0.859315537553577
UBE4B	375.325057151221	215.455315092007	511.514414347313	686.084392955443	591.774587091871	764.766353472976	898.471762472164	796.676735085359	885.038595263824	594.323475529328	771.37299905937	438.742086290142	1182.99946514437	713.817867708113	801.277218264351	471.764230116914
KIF1B	1334.91901770279	1971.32405817088	571.012052203544	521.45756541315	949.91712679759	631.250137367836	587.810659117373	529.391172468945	400.576574001198	416.770666203035	391.37767375657	429.967244564339	1112.58283031435	693.766804008447	500.236618505221	354.038001472074
PGD	16.7670987730786	498.125322499041	2570.79376903795	1884.43399039528	29.3788802102348	2880.13551883944	3125.63110110024	990.406968454621	2706.01257401751	1965.83918828932	2128.49916085508	2358.6774558958	7.82407053666914	1859.13462623304	1774.79159559487	2062.35729012859
CENPS-CORT	0	0	3.30542432534613	3.34267670136635	0	0	0	17.6118393972056	0	0	0	0	23.4722116100074	0	0	0
CENPS	300.518001086716	109.569155965593	248.733180482296	279.949173739432	342.753602452739	186.196083684038	119.554710328957	367.776646235764	149.862765332213	182.868761701332	199.628880573821	177.251802861217	145.527711982046	196.500424256728	283.816883852513	203.657782400198
CORT	0	1.8414984195898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	487.535641247977	439.197373072168	1261.84573620088	1193.33558238779	337.157625269837	1057.23044589376	727.291154501157	1104.36592926007	780.417419465864	982.387998907154	1316.85015957468	1059.1233963044	740.1570727689	1033.83284435478	1128.52782049007	623.863080263897
PEX14	6.44888414349176	30.3847239232317	101.641798004393	129.528722177946	1.39899429572546	98.0935465262249	57.0602026570023	50.7635370860632	94.2533115296937	80.8024761005884	81.4275697077428	42.9967244564339	12.5185128586706	72.9858718667846	84.6208651064221	72.1825051545005
CASZ1	52.8808499766325	86.5504257207207	19.0061898707402	84.4025867095003	86.7376463349788	17.257197999984	96.0060552641627	46.619574874956	71.6325167625672	93.5607618006813	56.9117422688525	118.460363298338	25.0370257173412	38.4980423033589	62.155148706487	95.3840246684471
C1orf127	0	0	0	0	0	0	0.905717502492101	0	0	0	0	0	0	0	0	0
TARDBP	3380.50506801838	2215.32259876653	2693.09446907576	1820.92313306932	4661.44899335725	2952.79740515516	3101.17672853295	1792.26365630386	2457.18383157912	1911.61647406392	2495.36100717276	2907.10506375848	2838.57279070356	2596.21172783277	2238.33421064686	2474.8287481543
MASP2	0	0	0	9.19236092875746	0	4.54136789473263	0.905717502492101	1.0359905527768	2.82759934589081	0	0	1.75496834516057	97.0184746546973	0	0	0
SRM	64.4888414349176	52.4827049583094	65.282130425586	383.572151481788	64.3537376033714	43.5971317894333	46.1915926270971	713.797490863215	33.9311921506897	69.1073808755033	46.4049590807566	57.9139553902987	50.0740514346825	57.7470634550384	250.867166465942	225.140670839037
EXOSC10	188.307416989959	601.24923399607	2636.90225554487	2138.47741969912	142.697418163997	3500.48637325991	3291.37740405629	810.144612271458	3838.93737860443	2231.63680704125	3250.97383144999	3168.5953471874	114.231429835369	2670.80168479553	2306.48021706	1934.3192750331
MTOR	816.428732566057	860.900511158232	334.674212941296	287.470196317506	152.490378234076	463.219525262729	572.413461575008	667.177915988259	512.738014721534	701.70571350511	628.655860754401	318.526754646643	593.064546679521	491.652081915813	453.807471278688	516.4486380697
ANGPTL7	0	0	0.826356081336532	0	0	0.908273578946527	0	0	0	0	0	0	23.4722116100074	0	0	0
