dualCAR_CD8_monomer_1	dualCAR_CD8_monomer_2	dualCAR_CD8_monomer_3	dualCAR_CD8_monomer_4	dualCAR_CD8_control_1	dualCAR_CD8_control_2	dualCAR_CD8_control_3	dualCAR_CD8_control_4	dualCAR_CD8_V9_Mb_1	dualCAR_CD8_V9_Mb_2	dualCAR_CD8_V9_Mb_3	dualCAR_CD8_V9_Mb_4	dualCAR_CD8_V7_1	dualCAR_CD8_V7_2	dualCAR_CD8_V7_3	dualCAR_CD8_V7_4
TAS1R1	0	0	0	0	0	0	2.62699364812254	0	0	0	0	0	0	18.787979838393	3.25329123328854	0
ZBTB48	0.989471835579899	34.2555087771457	8.60612129282758	123.547545970919	3.31680091671511	20.4247056254994	43.3453951940219	87.5607703956878	0	44.5653042243269	141.980802578529	9.79194951571214	0	103.333889111161	32.5329123328855	211.295871999142
KLHL21	116.757676598428	84.7045307943967	228.779391034333	113.251917140009	239.91526630906	215.097681118541	228.548447386661	263.411984273694	116.272583858293	111.413260560817	160.966607574495	129.55502436173	165.91502237927	5345.1802640228	144.77145988134	55.7184319997737
PHF13	53.4314791213146	18.6848229693522	138.415117459644	35.2992988488341	54.1744149730135	41.4876833017957	21.0159491849803	35.0243081582751	82.9074076206957	27.4819376050016	17.3348654310995	9.79194951571214	91.763057070099	28.1819697575895	33.3462351412076	15.1959359999383
THAP3	0	57.9229512049919	153.475829722092	120.605937733516	0	26.1691540826711	227.891698974631	232.036041548573	2.0221318931877	9.65581591527083	222.05137147456	82.8549574406411	3.70759826545855	28.1819697575895	124.438389673287	208.401407999153
DNAJC11	78.1682750108121	130.793760785466	38.0103690433218	164.730061294559	9.95040275014533	91.2729032639505	241.026667215243	212.334868209543	12.1327913591262	133.695912672981	101.532783239297	134.827612562498	65.8098692118892	28.1819697575895	43.9194316493954	353.124607998566
CAMTA1	382.925600369421	430.373755727413	299.062714925758	450.066060322635	715.323397704892	514.447272942266	355.300890908574	490.340314215852	211.312782838115	493.932121819623	402.003784045021	531.778181391751	497.74506713781	1643.94823585939	477.420488485094	289.446399998824
VAMP3	573.893664636342	1236.93528057112	643.307566638862	728.048038757203	77.3920213900193	437.854626846643	740.155460358526	568.41533448534	193.113595799425	831.142923783697	816.389614826542	511.441055474503	85.2747601055465	75.1519193535719	914.174836554081	750.389791996952
PER3	109.831373749369	104.012181196061	203.678203930253	191.204535431185	91.7648253624514	79.1457342988102	185.203052192639	146.664290412777	50.5532973296925	181.232237178929	160.141137792062	195.085763428419	115.86244579558	28.1819697575895	73.1990527489923	178.733151999274
UTS2	4.9473591778995	0.622827432311741	2.1515303232069	41.1825153236398	150.361641557752	3.19136025398428	0.656748412030635	16.7824809925068	0	0	34.6697308621989	0	114.935546229215	0	8.9465508915435	0
TNFRSF9	2605.27934308188	5105.93929009165	3724.29898947114	2879.83446441738	351.580897171802	1093.99829506581	650.83767632236	550.173507319572	1078.80736501564	1304.27790363197	1395.86940209472	1660.86528324194	3712.23276329037	13311.2837155014	5599.72753529791	4521.15276798163
PARK7	5492.55815930402	8004.57816007049	7077.10040980188	5290.48241496901	1930.37813352819	7167.7951304487	5217.20938517137	5250.72753139475	5686.23488364382	6460.48360238659	5469.5627784031	7335.67664104004	8690.61033423483	40187.4888743226	8018.54956724794	5543.62217597748
ERRFI1	23.7473240539176	2.49130972924696	12.1920051648391	0	28.7456079448643	0	2.62699364812254	9.48575012619951	0	15.5978564785144	29.7169121675991	26.3629410038404	0	28.1819697575895	0	0
SLC45A1	0	0	0	1.47080411870142	0	0	0	0	0	0	0	0	5.56139739818782	9.39398991919649	0	2.89446399998824
RERE	76.1893313396523	65.3968803927328	101.121925190724	197.08775190599	2.21120061114341	73.4012858416385	120.841707813637	36.4836543315366	195.135727692613	190.145298023795	202.240096696161	196.592217200067	11.1227947963756	75.1519193535719	186.250923105769	89.0047679996384
ENO1	686.69345389245	29497.107194284	24244.8780354441	16549.4879436284	430.078518867393	23926.9043682218	16347.7814722666	18083.4881059694	623.827689048406	23906.3146960698	20741.5792232017	13138.5365694282	380.028822209501	68735.8242387607	26215.8340806474	20351.6999999173
CA6	38.5894015876161	150.101411187129	38.0103690433218	41.1825153236398	3.31680091671511	40.8494112509988	34.150917425593	67.1299239700273	17.1881210920955	72.0472418293285	50.3536567284318	13.5580839448322	2.78069869909391	7252.16021761969	93.5321229570457	66.5726719997296
SLC2A7	0	0	0	22.0620617805213	0	17.2333453715151	0	4.37803851978439	0	0	0	0	0	0	0	0
SLC2A5	0	0	0	5.88321647480568	2.21120061114341	0	0	0	0	0	0	0.75322688582401	0	28.1819697575895	0	0
GPR157	39.578873423196	57.9229512049919	0.717176774402298	5.88321647480568	12.1616033612887	23.6160658794837	17.7322071248272	0	0	7.42755070405449	14.0329863013662	11.2984032873602	0.926899566364636	9.39398991919649	2.43996842496641	5.78892799997648
H6PD	118.736620269588	52.9403317464979	186.465961344598	157.376040701052	46.4352128340116	91.2729032639505	175.35182601218	51.806789150782	111.217254125324	102.500199715952	180.777882352894	45.9468400352646	15.7572926281988	216.061768141519	52.8659825409389	220.702879999103
SPSB1	31.6630987385568	1.24565486462348	40.1618993665287	1.47080411870142	2.21120061114341	70.2099255876542	70.9288284993086	48.888096804259	12.1327913591262	41.5942839427051	50.3536567284318	36.1548905195525	2.78069869909391	9.39398991919649	31.7195895245633	38.3516479998442
SLC25A33	141.494472487926	84.081703362085	78.1722684098505	70.5985976976682	267.555273948352	95.1025355687316	56.4803634346346	40.1320197646903	173.903342814142	36.394998449867	68.5139919419646	54.9855626651528	164.988122812905	112.727879030358	56.9325965825495	91.8992319996267
TMEM201	5.9368310134794	33.0098539125222	78.8894451842528	32.3576906114312	5.52800152785852	20.4247056254994	27.5834333052867	18.2418271657683	3.03319783978155	92.8443838006811	101.532783239297	39.9210249486726	15.7572926281988	28.1819697575895	43.1061088410732	123.0147199995
PIK3CD	147.431303501405	820.886555786874	961.01687769908	1241.358676184	121.616033612887	720.609145349651	947.031210148176	981.410301518334	196.146793639207	1195.09290828237	1260.49235777566	604.84118931668	160.353624981082	93.9398991919649	837.7224925718	1303.23241599471
CLSTN1	47.4946481078352	78.4762564712793	141.283824557253	232.387050754824	6.63360183343022	57.4444845717171	225.921453738539	121.125732380701	11.1217254125324	179.746727038119	238.560767123226	204.124486058307	17.6110917609281	122.121868949554	79.7056352155693	126.632799999486
CTNNBIP1	3.9578873423196	4.98261945849392	29.4042477504942	29.4160823740284	14.3728039724321	6.38272050796856	13.7917166526433	16.7824809925068	49.5422313830987	18.5688767601362	9.9056373891997	4.51936131494406	27.8069869909391	46.9699495959825	29.2796210995969	1.44723199999412
LZIC	1091.38743464463	1111.74696667646	946.673342211034	1219.29661440348	1166.40832237815	833.583298340694	677.764361215616	595.413238690677	497.444445724175	836.342209276535	710.729482675078	925.715842677709	710.005067835311	140.909848787947	816.576099555425	629.545919997443
NMNAT1	144.462887994665	145.118791728636	68.1317935682184	85.3066388846824	3.31680091671511	93.187719416341	52.5398729624508	137.908213373208	126.383243324231	107.69948520879	52.8300660757317	214.669662459843	136.254236255602	18.787979838393	114.678515973421	72.3615999997061
RBP7	0	0	0	0	0	0	0	0	0	0	0	1.50645377164802	0	9.39398991919649	2.43996842496641	0
UBE4B	199.87331078714	456.532507884506	697.813001493436	333.872534945222	257.604871198207	485.086758605611	420.975732111637	202.119444996713	506.544039243519	773.208028292072	406.131132957188	448.169997065286	400.420612669523	131.515858868751	327.769091753821	445.747455998189
KIF1B	815.324792517837	240.411388872332	321.29519493223	626.562554566805	660.043382426307	504.234920129517	124.782198285821	101.424559041672	1063.64137581673	381.776106188401	337.617141015223	196.592217200067	561.70113721697	375.75959676786	435.941025260665	332.863359998648
PGD	6.9263028490593	1207.66239125246	648.327804059678	608.912905142388	8.84480244457363	1066.55259688155	934.552990319594	1056.5666294413	7.07746162615696	1303.53514856156	852.710285253607	652.294483123593	4.63449783182318	7552.76789503398	956.467622586832	709.143679997119
CENPS-CORT	0	0	0	0	0	0	0	2.1890192598922	0	0	0	0	0	0	0	0
CENPS	117.747148434008	136.399207676271	83.1925058306666	63.2445771041611	145.939240335465	84.8901827559819	191.113787900915	133.530174853424	169.859079027767	102.500199715952	110.612950846063	192.072855885123	163.134323680176	28.1819697575895	98.4120598069785	83.939455999659
CORT	0	0	0	0	0	0	0	1.45934617326146	0	0	0	0.75322688582401	0	0	0	0
DFFA	332.462536754846	498.884773281704	355.002503329138	407.412740880293	302.934483726647	441.045987100628	334.284941723593	552.362526579464	562.152666306181	439.711001680026	617.451397260115	534.791088935047	421.73930269591	1221.21868949554	540.859667534221	334.310591998642
PEX14	8.9052465202191	90.9328051175141	58.8084955009885	97.0730718342937	2.21120061114341	107.867976584669	61.7343507308797	67.8595970566581	10.1106594659385	74.2755070405449	63.5611732473647	49.7129744643847	4.63449783182318	28.1819697575895	43.9194316493954	114.331327999536
CASZ1	117.747148434008	65.3968803927328	54.5054348545747	35.2992988488341	189.057652252761	39.5728671494051	84.720545151952	75.8860010095961	78.8631438343204	40.8515288722997	22.2876841256993	0	161.280524547447	37.575959676786	17.0797789747649	75.2560639996943
C1orf127	0	0	0	4.41241235610426	0	0	0	0	0	0	0.825469782433308	0	0	9.39398991919649	0	2.17084799999118
TARDBP	2164.96437624882	1775.05818208846	1039.18914610893	1067.80379017723	2537.35270128706	1186.54774243136	1067.87291796181	1245.55195887866	2263.77665442363	1510.02105813428	1335.61010797709	1003.29821191758	2017.86035597581	93.9398991919649	1059.75961924374	1406.70950399429
MASP2	16.8210212048583	8.71958405236437	1.4343535488046	0	0	0	0	0	1.01106594659385	8.91306084486538	6.60375825946647	4.51936131494406	0	37.575959676786	42.2927860327511	0
SRM	35.6209860808764	27.4044070217166	25.1011871040804	225.033030161317	22.1120061114341	24.8926099810774	173.381580776088	182.418271657683	40.442637863754	21.539897041758	90.8016760676639	211.656754916547	28.7338865573037	695.15525402054	23.5863614413419	355.295455998557
EXOSC10	131.599754132127	1710.90695656035	973.208882863919	826.591914710198	111.665630862742	697.631351520964	1190.02812259951	992.355397817795	230.523035823398	1541.95952616171	1039.26645608354	537.050769592519	130.692838857414	6387.91314505361	1003.64034546952	1267.77523199485
MTOR	808.398489668778	513.209804224874	499.155034984	392.704699693279	50.8576140562984	495.299111418361	309.328502066429	259.763618840541	1454.92389714855	229.511316755284	297.994591458424	381.886031112773	288.265765139402	56.3639395151789	348.102161961874	234.451583999048
ANGPTL7	0	0	0	0	0	0	0.656748412030635	0	0	0	0	1.50645377164802	24.0993887254805	0	0	0
